Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testSuite1,Chrome 65.0.3325.181,,2018-03-29 11:43:01,2018-03-29 11:43:25,24.091s,FAILED
,,,,,,
Test Cases/Create L0,Chrome 65.0.3325.181,Create first loan,2018-03-29 11:43:02,2018-03-29 11:43:25,23.462s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-03-29 11:43:02,2018-03-29 11:43:05,3.302s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-29 11:43:05,2018-03-29 11:43:16,10.690s,PASSED
scrollToElement,Chrome 65.0.3325.181,,2018-03-29 11:43:16,2018-03-29 11:43:16,0.110s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 11:43:16,2018-03-29 11:43:21,4.799s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 11:43:21,2018-03-29 11:43:21,0.131s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 11:43:21,2018-03-29 11:43:21,0.141s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 11:43:21,2018-03-29 11:43:23,1.895s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-03-29 11:43:23,2018-03-29 11:43:24,1.141s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 11:43:24,2018-03-29 11:43:25,0.728s,FAILED
